title,date,content,rating
Squeaky clean teeth,12th December 2018,After using Colgate Total in the morning and evening i found that my teeth did feel squeaky clean without having to put too much effort in. Also the mint flavour was not too strong but it did leave my toungue and mouth smelling minty which was nice. Generally a good all rounder toothpaste with an easy to use tube.,4 stars
Definitely worth a try,12th December 2018,I really like this toothpaste. I've always trusted Colgate as a toothpaste brand. The new toothpaste leaves my mouth feeling fresh and it's something that I'll buy again.,4 stars
Great toothpaste for all the family,12th December 2018,Colgate original has a lovely taste and left my mouth feeling clean and fresh. I can highly recommend this for all ages.,5 stars
Perfect,12th December 2018,Fantastic tooth paste. Colgate was my favourite for ages but few years ago I moved to deferent brand and my tooth and dentist wasn't happy. Since I back to Colgate about a year ago all my problems gone....,5 stars
Great clean feeling,12th December 2018,"This toothpaste is great for all the family, it leaves your mouth and teeth feel clean, although I would prefer it if it was more minty",4 stars
An all in 1 toothpaste,12th December 2018,This toothpaste is fantastic! It helps a whole host of problems that people usualy have in 1 tube so no more havimg to buy loads of different types of toothpaste,5 stars
Great family clean,12th December 2018,Great all round toothpaste you can feel it working. Great taste for the whole family.,5 stars
Total time saver,12th December 2018,"We all have such busy lives it's great to use a product that takes care of my dental hygiene needs, enamel erosion seems to be being mentioned more at the Dentists. This helps to look after my teeth in many ways, it's a quick fix for a busy life.",5 stars
Thumbs up,12th December 2018,"Colgate is a good all rounder toothpaste, kids loved the flavour,.",4 stars
Feels fresh all day,12th December 2018,"Colgate Total Original Toothpaste works great, Makes your mouth and teeth feels clean and fresh all day.",4 stars
minty clean freshness,12th December 2018,makes your teeth feel really clean and leaves a lovely minty taste in your mouth.,5 stars
Great taste and very clean teeth.,12th December 2018,"This toothpaste has a great taste, makes a rich foam and rinses very well. It leaves my teeth feeling very clean and it has a very nice, minty aftertaste. I am very impressed with the results after using this toothpaste for a week and would really recommend it.",4 stars
Squeaky clean,12th December 2018,It was fresh and made my teeth squeaky clean .I have sensitive teeth so it did t really help with that but otherwise great,4 stars
the only toothpaste you will ever need,12th December 2018,"this leaves your whole mouth feeling fresh, clean and looking lovely",1 stars
Worth Buying,12th December 2018,Great product that covers a multitude of problems.,4 stars
Great taste and very clean teeth.,12th December 2018,"This toothpaste has a great taste, makes a rich foam and rinses very well. It leaves my teeth feeling very clean and it has a very nice, minty aftertaste. I am very impressed with the results after using this toothpaste for a week and would really recommend it.",4 stars
CLEAN AND FRESH,12th December 2018,Leaves both mouth and teeth feeling clean. Fresh breath.,4 stars
Nice & fresh,12th December 2018,This is a very nice fresh tasting toothpaste which leaves your whole mouth feeling clean. Unfortunately the clean feeling did not last as long as I would have liked,4 stars
A satisfied customer.,12th December 2018,ColgateTotal Original Toothpaste is mild and provides freshness to your mouth. As it's mild it's suitable for young and old. It gives hours of freshness to your mouth and tongue. I liked the mildness and the freshness of the Total Original toothpaste.,5 stars
Perfect all rounder,12th December 2018,"An excellent all round toothpaste suitable for the whe family. Freshens, strengthens and protects everyone's teeth.",4 stars
Worth Buying,12th December 2018,Great product that covers a multitude of problems.,4 stars
Great taste and very clean teeth.,12th December 2018,"This toothpaste has a great taste, makes a rich foam and rinses very well. It leaves my teeth feeling very clean and it has a very nice, minty aftertaste. I am very impressed with the results after using this toothpaste for a week and would really recommend it.",4 stars
CLEAN AND FRESH,12th December 2018,Leaves both mouth and teeth feeling clean. Fresh breath.,4 stars
Nice & fresh,12th December 2018,This is a very nice fresh tasting toothpaste which leaves your whole mouth feeling clean. Unfortunately the clean feeling did not last as long as I would have liked,4 stars
A satisfied customer.,12th December 2018,ColgateTotal Original Toothpaste is mild and provides freshness to your mouth. As it's mild it's suitable for young and old. It gives hours of freshness to your mouth and tongue. I liked the mildness and the freshness of the Total Original toothpaste.,5 stars
Perfect all rounder,12th December 2018,"An excellent all round toothpaste suitable for the whe family. Freshens, strengthens and protects everyone's teeth.",4 stars
Ok but could be better,12th December 2018,Ok toothpaste but not as effective or good as my normal one,3 stars
Colgate total,12th December 2018,Try and surprise. My gum stay fresh for long time. In the first use I'm don't like the test as was very light mint but after use water the mint is expected I'm my mouth. Also very high flour that's is minus for me as im use without fluor toothpaste but good and worth to try,4 stars
Fresh and clean,12th December 2018,Clean and fresh feeling along with long lasting feeling,5 stars
Great Toothpaste,12th December 2018,"A great all rounder toothpaste, leaving my whole mouth feeling fresh and clean. Great minty taste. My teeth feel clean all day.",5 stars
Not for sensitive teeth,12th December 2018,"First impressions were very good. Lovely strong, fresh minty taste. I felt my whole mouth was clean and felt zingy afterwards. unfortunately for me my sensitivity returned after only two uses so I will have to stick to my usual brand.",4 stars
Cleaner mouth than ever,11th December 2018,Nice professional looking packaging easy to open and use .toothpaste spread around mouth really well with a fresh minty taste that wasn't too overpowering teeth felt clean and gums less sensitive after use .effects lasted all day with no breath issues or dirty feeling teeth. .,5 stars
All round effective,11th December 2018,"Good toothpaste, it's effective and tastes great. All round use for all the family, good for gum health.",4 stars
Fresh,11th December 2018,I have used Colgate for a long time - but normally purchase the original. Colgate total is fantastic - my mouth was left feeling fresh and clean. I will definitely buy this in future.,5 stars
Colgate total gets a thumbs up from me,11th December 2018,I loved this toothpaste. It tastes good without being over powering. It left my teeth and mouth feeling fresh and clean for longer too.,5 stars
